bold,events
-0.20341448605092113,0.0
-0.09697810537364232,4.0
0.22632252890696219,0.0
0.55492460511189612,0.0
0.88103317926631064,4.0
1.0611220149660194,0.0
1.1931620110180625,0.0
1.1086519279080755,4.0
0.92349245810911385,0.0
0.51511291992107933,0.0
0.068634309578555167,0.0
-0.27019493824062701,0.0
-0.73824368108749638,0.0
-0.92189830895686942,0.0
-0.77605367370405787,0.0
-0.66959339550383579,0.0
-0.508658209043375,4.0
-0.17651203678548538,0.0
-0.27744626094157349,0.0
-0.41953168396041052,0.0
-0.60050714305922304,0.0
-0.89606012622979414,0.0
-0.95445062340893938,0.0
-0.676049952013697,0.0
-0.053384148466907436,0.0
0.40989468696509873,0.0
1.093288499668523,5.0
1.4485690248153174,0.0
1.4462557646207712,0.0
0.97266037265390526,0.0
0.67131579383953111,0.0
0.13236446410843625,0.0
-0.53016919847267208,0.0
-0.71049510725372855,0.0
-0.84685613355974088,0.0
-0.80973217750108328,5.0
-0.56214113450226166,0.0
-0.082302870225664571,0.0
0.11898967652447606,5.0
0.39021346211781582,0.0
0.51640523024500085,0.0
0.58399997610391763,5.0
0.56436569917292734,0.0
0.41577387232479524,0.0
0.55498978835766088,0.0
0.78215491050970298,0.0
0.59949663280809107,0.0
0.30087875976678879,0.0
0.12500523847296777,0.0
-0.46315985952860506,0.0
-0.8310846628786025,0.0
-0.84215399305649141,2.0
-0.56190669367055379,0.0
-0.28075980003837353,0.0
0.22562262775907355,2.0
0.40040397863983507,0.0
0.46982398251916757,0.0
0.33268334400916366,2.0
0.36576995698094611,0.0
0.37733442533083739,0.0
0.33297047586196249,0.0
0.0066276230915072922,0.0
-0.41505083063009457,0.0
-0.67883590904993463,2.0
-0.87904723228026793,0.0
-1.0350189911316268,0.0
-0.80182222330121544,0.0
-0.27432246397257321,3.0
0.11150879526218262,0.0
0.3200605503682088,0.0
0.5506872055364469,0.0
0.44792268417920239,0.0
0.18575157694813188,0.0
0.094054160148017749,3.0
0.12245485039247231,0.0
0.18636352010130564,0.0
0.34930697695674545,0.0
0.34762084137102245,0.0
0.06777183018646582,0.0
-0.32631151701929056,0.0
-0.53983971078615767,0.0
-0.77082993261975463,0.0
-0.45455181369742309,3.0
-0.27171554302254608,0.0
0.13399742072113985,0.0
0.48480259309552781,3.0
1.0018012154244245,0.0
1.0876982156055464,0.0
1.2139536957892956,0.0
1.1567561122361556,0.0
0.80920401957505428,0.0
0.36388175316221871,0.0
0.14197533015955147,6.0
-0.044819506480297609,0.0
-0.40449244636587717,0.0
-0.64771612262693523,0.0
-0.83433163590066828,0.0
-1.1117029548009909,0.0
-1.2215481921625666,6.0
-0.94424580080375742,0.0
-0.83951179694796019,0.0
-0.36538918585049673,6.0
-0.10971870471723695,0.0
0.13922451539557618,0.0
0.21601414046408393,6.0
0.62880365295648677,0.0
0.36346153116236279,0.0
0.12511182727207257,0.0
-0.24533205212824211,0.0
-0.64483129088832447,0.0
-0.96986425595335191,0.0
-0.77030467987660201,0.0
-0.56405091411915875,0.0
-0.3616124019411513,0.0
-0.078034724409266065,1.0
0.37383740587707287,0.0
0.25936057529635548,0.0
0.22070114166626312,0.0
0.068939893555411691,0.0
0.13090538371664509,0.0
0.07734829509103551,1.0
0.13713498371784685,0.0
0.32250569650342992,0.0
0.69794962618649792,1.0
0.87529225947629286,0.0
0.79149433681197767,0.0
1.0421776357057879,1.0
1.1485581960223428,0.0
0.84342258204943432,0.0
0.48067409868876915,0.0
0.19134321795515397,0.0
-0.27008528217279343,0.0
-0.28892393676922162,0.0
0.10616175723799212,0.0
0.35236501170943862,0.0
0.32042182074789344,0.0
0.42821020500487478,0.0
-0.052426262680692483,0.0
-0.41670066711985115,0.0
-0.59084617515391968,4.0
-0.41806763030154387,0.0
-0.42662846752573524,0.0
